Restaurant Name,City,Primary Cuisine,Cost Category,Rating,Votes,Latitude,Longitude
Harvest Moon,albany,pizza,medium,3.5,147,31.604905,-84.205718
Henry Campbell's Steakhouse,albany,steak,high,3.5,51,31.612121,-84.223278
Hong Kong Cafe,albany,chinese,medium,3.5,88,31.6156,-84.2191
House of China Restaurant II,albany,chinese,low,4.0,153,31.6104,-84.212
Locos Grill & Pub,albany,american,medium,3.5,57,31.6077,-84.2228
Longhorn Steakhouse,albany,american,medium,3.5,58,31.6185,-84.2229
Mikata Japanese Steakhouse,albany,japanese,high,3.5,115,31.6137,-84.2164
Shogun Japanese Steak House,albany,japanese,high,3.5,51,31.6118,-84.2233
The Catch Seafood Room & Oyster Bar,albany,seafood,high,4.0,250,31.605882,-84.205025
Villa Gargano,albany,italian,low,3.5,117,31.5985,-84.1757
3 Squares Diner,albany,american,low,3.5,20,31.5308,-83.8389
Whitebull Hotel,armidale,bar food,medium,3.5,25,-30.5147169,151.6688792
Last Resort Grill,athens,american,high,4.5,1821,33.957999,-83.378273
Mama's Boy Restaurant,athens,southern,low,4.5,849,33.9535,-83.3654
Sr. Sol 1,athens,mexican,low,4.5,917,33.9652,-83.4293
Choo Choo Eastside,athens,japanese,low,4.0,439,33.9259,-83.3389
The Grill,athens,breakfast,low,3.5,289,33.958198,-83.375523
Big City Bread Cafe,athens,breakfast,low,4.5,558,33.959392,-83.384004
Clocked,athens,american,low,4.0,613,33.9584,-83.3797
DePalma's Italian Cafe - Downtown,athens,american,medium,4.0,353,33.958112,-83.373596
DePalma's Italian Cafe - East Side,athens,american,medium,4.0,387,33.924275,-83.33995
Five & Ten,athens,american,high,4.5,755,33.9415545,-83.3872482
Grit,athens,international,low,4.0,800,33.960112,-83.381625
Ike & Jane,athens,sandwich,low,4.0,350,33.963296,-83.400887
La Dolce Vita Ristorante,athens,italian,high,4.0,464,33.9584,-83.4075
Shokitini,athens,asian,medium,4.0,550,33.957503,-83.379251
Taqueria Del Sol,athens,mexican,low,4.0,543,33.960571,-83.383605
The National,athens,international,high,4.0,465,33.959468,-83.37967
The Royal Peasant,athens,bar food,low,4.5,546,33.937502,-83.38728
Transmetropolitan,athens,italian,low,4.5,1098,33.9584,-83.3764
Trappeze Pub,athens,burger,medium,4.0,579,33.958363,-83.378881
Viva! Argentine Cuisine,athens,desserts,low,4.0,374,33.9600227,-83.3828224
Miyabi Kyoto Japanese Steak House,augusta,chinese,high,4.5,717,33.4721,-82.0865
Rae's Coastal Cafe,augusta,american,high,5.0,548,33.4791,-82.0698
The Bee's Knees,augusta,international,medium,4.5,631,33.4765,-81.97
Boll Weevil Cafe,augusta,desserts,low,4.0,372,33.474,-81.9684
Farmhaus Burger,augusta,american,medium,4.0,201,33.477444,-81.973006
Manuel's Bread Cafe,augusta,breakfast,high,4.0,332,33.481779,-81.965571
Sconyers Bar B Que,augusta,bbq,medium,3.5,304,33.4086,-82.0327
Frog Hollow Tavern,augusta,american,high,4.5,368,33.478231,-81.974944
Giuseppe's Pizza & Italian Specialities,augusta,desserts,medium,4.0,430,33.4827,-82.096
Mellow Mushroom,augusta,italian,medium,4.5,433,33.4778,-81.9721
Nacho Mamas Burritos,augusta,mexican,low,4.0,380,33.4764,-81.9694
Rhinehart's Oyster Bar,augusta,bar food,medium,4.0,456,33.5133,-82.0505
Takosushi,augusta,mexican,high,4.0,647,33.4848,-82.0301
The Chop House,augusta,steak,high,4.0,360,33.467201,-82.080788
The Taj of India,augusta,indian,medium,4.0,227,33.5375868,-82.0805493
Augsburg Haus,augusta,german,medium,4.0,290,33.544342,-82.143793
Pho Bac,augusta,vietnamese,low,4.0,270,33.532249,-82.126161
Rhinehart's Oyster Bar,augusta,burger,medium,4.0,326,33.521291,-82.141284
Thai Kitchen,augusta,thai,high,4.5,317,33.5406,-82.1328
El Kiosco Mexican Restaurant,augusta,mexican,low,4.0,300,33.4574,-82.1997
Taste of Balingup,balingup,modern australian,medium,3.0,21,-33.7845269,115.9844924
Bridge Road Brewers,beechworth,pizza,medium,4.5,237,-36.360439,146.685852
Bardenay,boise,american,medium,4.5,879,43.6138,-116.2019
Flatbread Neapolitan Pizzeria,boise,italian,medium,4.5,615,43.616068,-116.203466
Goldy's Breakfast Bistro,boise,breakfast,medium,4.5,879,43.6149,-116.2023
Chandlers Steakhouse,boise,american,high,4.0,379,43.6157,-116.2064
Bar Gernika Basque Pub & Eatery,boise,european,low,4.5,303,43.614,-116.2031
Barbacoa Restaurant,boise,latin american,high,4.0,538,43.597235,-116.185034
Big Jud's,boise,american,low,4.0,334,43.5945,-116.2062
Bittercreek Ale House,boise,american,medium,4.5,555,43.6167,-116.2022
Boise Fry Company,boise,american,low,4.5,823,43.610279,-116.193409
Flying Pie Pizzaria,boise,pizza,medium,4.0,550,43.6192,-116.2625
Fork,boise,american,medium,4.5,650,43.616295,-116.202845
Guido's Original New York Style Pizza,boise,pizza,low,4.5,410,43.615,-116.199
Los Beto's,boise,mexican,low,4.5,660,43.6191,-116.2463
Lucianos Italian Restaurant,boise,italian,medium,4.5,360,43.6051379,-116.245165
Mai Thai Restaurant,boise,sushi,high,4.0,340,43.6162,-116.2021
Shige Japanese Cuisine,boise,japanese,medium,4.0,393,43.6156,-116.2031
The Egg Factory,boise,breakfast,low,4.5,422,43.619274,-116.281809
Tucanos,boise,brazilian,high,4.0,435,43.591706,-116.280614
Texas Roadhouse,boise,american,medium,4.0,369,43.619108,-116.347304
Brick 29,boise,american,high,4.5,487,43.5777,-116.5629
Winifreds,cedar rapids/iowa city,american,high,3.5,98,42.0179,-91.6336
Biaggi's Ristorante Italiano,cedar rapids/iowa city,italian,high,4.0,365,42.0281,-91.6327
El Super Burrito,cedar rapids/iowa city,mexican,low,4.0,190,41.9748,-91.7148
Granite City Food & Brewery,cedar rapids/iowa city,american,high,4.0,429,42.0249,-91.6224
Irish Democrat,cedar rapids/iowa city,american,medium,4.5,430,42.01,-91.6347
Taste of India,cedar rapids/iowa city,indian,medium,4.0,186,42.0215347,-91.6499622
Thai Moon Restaurant,cedar rapids/iowa city,chinese,low,4.0,220,41.9639,-91.7266
Ting's Red Lantern,cedar rapids/iowa city,chinese,low,4.0,347,42.0468,-91.6394
Monica's,cedar rapids/iowa city,american,medium,4.0,161,41.670466,-91.569767
Exotic India,cedar rapids/iowa city,indian,medium,4.0,160,41.6685,-91.5687
Shorts Burger and Shine,cedar rapids/iowa city,burger,low,5.0,820,41.660982,-91.534424
The Hamburg Inn No. 2 Inc.,cedar rapids/iowa city,american,low,4.5,488,41.663849,-91.531414
Bluebird Diner,cedar rapids/iowa city,breakfast,medium,3.5,253,41.663751,-91.531093
Graze,cedar rapids/iowa city,american,high,4.0,220,41.658691,-91.534302
A & A Pagliai's Pizza,cedar rapids/iowa city,pizza,medium,4.5,485,41.6648,-91.5314
Atlas World Grill,cedar rapids/iowa city,international,high,4.5,428,41.661,-91.5341
BlackStone,cedar rapids/iowa city,american,medium,4.0,294,41.667742,-91.482165
Devotay,cedar rapids/iowa city,mediterranean,high,4.0,380,41.6625,-91.5318
Jimmy Jack's Rib Shack,cedar rapids/iowa city,bbq,medium,4.0,259,41.6428,-91.5074
Zoeys Pizzeria,cedar rapids/iowa city,pizza,medium,4.5,433,42.0331,-91.5995
Tokyo Sushi,chatham-kent,japanese,medium,3.5,176,42.397683,-82.188438
Berry Patch Restaurant,clatskanie,american,low,4.5,96,46.126967,-123.368151
Sakura Sushi & Grill,cochrane,asian,medium,3.0,6,51.183934,-114.472474
Uptown Vietnam cuisine,columbus,asian,low,3.5,33,32.470315,-84.992671
Cafe Le Rue @ The Landings,columbus,american,medium,4.5,489,32.519247,-84.95591
Mark's City Grille,columbus,american,medium,4.5,345,32.555591,-84.927047
B Merrell's,columbus,burger,medium,4.0,149,32.5577,-84.9436
Cannon Brewpub,columbus,pizza,medium,4.0,330,32.4656,-84.9936
Fuji Japanese Steak House,columbus,japanese,high,4.0,247,32.5382197,-84.954984
Ruth Ann's Family Restaurant,columbus,breakfast,low,3.5,123,32.4637,-84.9876
Samurai Japanese Cuisine & Sushi Bar,columbus,japanese,high,3.5,109,32.4652417,-84.9933631
Wasabi Sushi and Thai,columbus,japanese,high,3.5,134,32.534002,-84.96661
Buckhead Bar and Grill,columbus,seafood,high,4.0,722,32.513154,-84.95367
Burt's Butcher Shoppe and Eatery,columbus,steak,medium,4.5,213,32.504657,-84.947569
Chef Lee's Peking Restaurant,columbus,chinese,medium,4.0,335,32.5393,-84.9607
Country's Barbecue,columbus,bbq,medium,4.0,353,32.4792,-84.9464
Deorio's,columbus,italian,low,4.0,170,32.481,-84.9427
Mellow Mushroom,columbus,pizza,medium,4.0,192,32.5321,-84.9557
Meritage,columbus,american,high,4.0,302,32.466158,-84.992093
Mongo The Mongolian Fire Pit,columbus,asian,low,4.0,355,32.560905,-84.938698
The Black Cow,columbus,american,medium,4.5,287,32.468757,-84.991384
Wood Stone,columbus,italian,high,4.0,264,32.527217,-84.963201
Hunter's Pub,columbus,american,high,4.5,235,32.7455,-85.0213
Consort Restaurant,consort,chinese,medium,3.0,6,52.0082889,-110.7746994
Thatcher's Barbeque and Grill,dalton,american,medium,3.5,38,34.5251331,-84.9396931
Christian and Jake's Bistro,dalton,desserts,low,4.5,122,34.474635,-84.926258
Dub's High on the Hog,dalton,bbq,medium,4.5,207,34.4972488,-84.9523921
Sierra's Mexican Restaurant,dalton,mexican,low,4.0,66,34.752476,-84.767911
Oakwood Cafe,dalton,bbq,low,5.0,249,34.769686,-84.969393
Chili's Grill & Bar,dalton,american,medium,4.0,63,34.7643,-85.0039
Fuji Japanese Steakhouse,dalton,japanese,high,4.0,145,34.759551,-84.992342
Las Palmas,dalton,mexican,low,4.0,83,34.759665,-84.992924
Tony's Italian Restaurant & Pizza,dalton,italian,medium,3.5,116,34.758645,-84.999678
Filling Station,dalton,american,low,4.0,122,34.7742,-84.9678
Five Guys Burgers and Fries,dalton,fast food,low,4.0,142,34.759273,-84.990925
Los Pablos,dalton,mexican,low,4.0,114,34.7604,-84.9964
Kobe Hibachi & Sushi,dalton,american,medium,4.5,214,34.9428786,-85.2229101
Soho Hibachi,dalton,japanese,low,4.5,116,34.9528157,-85.246237
Thai Garden,dalton,thai,medium,4.0,111,34.9546,-85.2545
Southern Bliss Bakery,dalton,desserts,low,3.5,25,34.705093,-85.294955
Bailey's Bar-B-Que,dalton,bbq,low,4.0,128,34.9273,-85.1321
Farm To Fork,dalton,american,low,4.5,244,34.912109,-85.130492
Home Plate Grill,dalton,american,low,4.0,112,34.9151853,-85.1079396
Pie Slingers Pizzeria,dalton,italian,low,4.0,144,34.851907,-85.249727
Olive Tree Cafe,davenport,indian,medium,4.5,166,41.574935,-90.496986
"Red Ginger Sushi, Grill & Bar",davenport,sushi,high,4.5,208,41.53845,-90.522479
Crust Stone Oven Pizza,davenport,burger,medium,4.0,136,41.5747801,-90.4912446
Jimmy's Pancake House,davenport,american,low,4.0,85,41.548746,-90.504176
Trattoria Tiramisu,davenport,italian,medium,4.0,117,41.525384,-90.50709
Prairie Grille at SteepleGate Inn,davenport,american,medium,3.5,53,41.593892,-90.574088
Tantra Asian Bistro,davenport,asian,medium,5.0,474,41.574459,-90.565837
Chick-fil-A,davenport,fast food,low,4.0,125,41.5604,-90.5716
Duck City Bistro,davenport,american,high,3.5,201,41.5223,-90.5737
Frick's Tap,davenport,american,medium,1.0,2,41.52253634,-90.59466452
Los Agaves,davenport,mexican,medium,1.0,3,41.5709434,-90.5154313
Azteca,davenport,mexican,low,4.5,167,41.5699,-90.5683
China Cafe,davenport,chinese,medium,4.0,112,41.5749,-90.5321
Exotic Thai Restaurant,davenport,thai,medium,4.0,256,41.5747,-90.5432
Front Street Brewery,davenport,american,low,4.5,123,41.520389,-90.572418
Granite City Food & Brewery,davenport,american,medium,4.0,199,41.5745,-90.5137
Los Agaves,davenport,mexican,medium,4.0,157,41.559,-90.5686
Machine Shed Restaurant,davenport,american,medium,4.0,100,41.5944,-90.6136
Osaka,davenport,japanese,high,4.0,141,41.570997,-90.515175
Texas Roadhouse,davenport,american,medium,4.0,197,41.5747,-90.517
Hickory Park,des moines,bbq,medium,4.5,1025,42.010254,-93.610084
The Cafe,des moines,american,medium,5.0,570,42.048779,-93.643094
Flying Mango,des moines,bbq,high,4.5,674,41.614965,-93.677638
Cool Basil,des moines,asian,medium,4.0,496,41.600564,-93.739573
HuHot Mongolian Grill,des moines,asian,medium,4.0,411,41.60028,-93.760027
Malo,des moines,latin american,medium,3.0,113,41.583309,-93.627896
Centro,des moines,italian,high,4.5,1109,41.5857431,-93.6300803
Fong's Pizza,des moines,chinese,medium,4.5,728,41.585465,-93.621631
A Dong Restaurant,des moines,asian,low,4.5,659,41.587219,-93.637401
Court Avenue Brewing Company,des moines,american,high,4.0,370,41.58536,-93.620726
Django,des moines,french,high,4.5,532,41.584027,-93.629436
Miyabi 9,des moines,japanese,medium,5.0,860,41.590819,-93.611366
Zombie Burger + Drink Lab,des moines,burger,low,4.0,943,41.590106,-93.61474
Tursi's Latin King,des moines,american,high,4.0,476,41.601415,-93.577383
Tsing Tsao South,des moines,chinese,low,4.0,218,41.545869,-93.645245
Bandit Burrito,des moines,breakfast,low,4.0,214,41.6714654,-93.6976773
Jethro's BBQ,des moines,american,medium,4.5,699,41.603901,-93.659797
The Machine Shed Restaurant,des moines,american,medium,4.0,308,41.615083,-93.772033
Mi Patria,des moines,latin american,medium,4.0,157,41.594039,-93.73624
Waterfront Seafood Market,des moines,seafood,high,4.0,530,41.5991771,-93.7441981
The Giggling Goat,dicky beach,coffee and tea,low,3.5,29,-26.783576,153.137401
Burnt Toast Cafe,dubuque,breakfast,low,3.5,33,42.504759,-90.667668
Catfish Charlie's,dubuque,seafood,medium,3.5,40,42.5124724,-90.6499328
Salsa's Mexican Restaurant,dubuque,mexican,low,3.5,153,42.5032004,-90.6684746
Tony Roma's,dubuque,american,medium,3.5,65,42.496464,-90.658609
Vinny Vanucchi's,dubuque,italian,medium,3.5,58,42.495689,-90.664029
Champps Americana,dubuque,american,medium,3.5,100,42.492018,-90.715247
Fiesta Cancun,dubuque,mexican,low,3.5,156,42.49092,-90.740213
Happy Joe's Pizza & Ice Cream,dubuque,desserts,low,3.5,74,42.4955,-90.7264
Houlihan's,dubuque,american,medium,3.5,117,42.516621,-90.645294
Ichiban Hibachi Steakhouse & Sushi Bar,dubuque,japanese,high,3.5,83,42.492963,-90.712084
Kalmes Breaktime Bar & Grill,dubuque,american,medium,3.5,48,42.5043,-90.6646
L. May Eatery,dubuque,international,high,4.0,198,42.503075,-90.668164
Los Aztecas,dubuque,mexican,low,3.5,126,42.4916,-90.7055
Manna Java World Cafe,dubuque,breakfast,low,3.5,119,42.500191,-90.6677349
Mario's Italian Restaurant,dubuque,american,medium,3.5,140,42.5048,-90.6691
Pepper Sprout Incorporated,dubuque,american,high,3.5,159,42.4974,-90.6651
Shot Tower Inn,dubuque,italian,medium,3.5,131,42.4963,-90.6658
Sunshine Family Restaurant,dubuque,american,low,3.5,60,42.4982789,-90.663686
Watershed Cafe,dubuque,american,medium,3.5,89,42.527556,-90.684882
Woodfire Grille,dubuque,american,high,3.5,72,42.496378,-90.658988
The Belle General,east ballina,cafe,medium,4.0,56,-28.862663,153.593331
Jehova es Mi Pastor Tacos y Burritos,fernley,mexican,low,3.5,83,39.607515,-119.252694
Flaxton Gardens,flaxton,tea,high,3.5,37,-26.6521332,152.8771473
Bespoke Harvest,forrest,cafe,medium,3.5,29,-38.517292,143.714315
Houndstooth Grill & Tavern,gainesville,american,medium,4.5,239,34.0901,-83.8461
Hawg Wild BBQ & Catfish House,gainesville,bbq,low,4.0,235,34.61802,-83.520693
Bourbon Street Grille,gainesville,american,medium,4.0,88,34.532973,-83.985353
Smokin Gold BBQ,gainesville,bbq,low,4.0,133,34.533626,-83.983939
Hoka-Hoka Japanese Steak & Sushi,gainesville,chinese,low,4.5,267,34.541044,-83.989317
Shenanigan's Irish Pub,gainesville,bar food,medium,4.0,171,34.533198,-83.986119
Fish Tales Lakeside Grille,gainesville,seafood,medium,4.0,107,34.183573,-83.938024
Antebellum,gainesville,american,high,4.5,164,34.185707,-83.926217
Moonie's Texas Barbecue,gainesville,bbq,low,4.0,182,34.180043,-83.927794
Atlanta Highway Seafood Market,gainesville,sandwich,medium,5.0,681,34.285102,-83.838457
Eat at Thai,gainesville,thai,low,4.5,357,34.300182,-83.857993
Smoke House BBQ and Catering,gainesville,bbq,medium,4.0,89,34.222755,-83.860098
2 Dog,gainesville,american,medium,4.0,350,34.300567,-83.824023
Longstreet Cafe,gainesville,southern,low,4.5,298,34.3166,-83.8272
Re-Cess,gainesville,american,medium,4.0,319,34.300332,-83.82686
Bodensee,gainesville,german,high,4.0,114,34.701594,-83.727741
Hofer's Bakery & Cafe,gainesville,german,low,4.0,136,34.7024,-83.7345
Troll Tavern,gainesville,burger,medium,2.0,108,34.7021,-83.7334
The Nacoochee Village Tavern & Pizzeria,gainesville,italian,low,4.0,161,34.691208,-83.713498
Blue Bean Love Cafe,hepburn springs,cafe,medium,4.0,192,-37.3123267,144.1387014
La Trattoria of Lavandula,hepburn springs,italian,low,4.0,93,-37.275494,144.110062
5 Little Pigs,huskisson,breakfast,medium,4.0,40,-35.0388698,150.6710743
Beach Box Cafe,inverloch,burger,low,3.5,100,-38.6347458,145.7287133
Funkey Monkey,lakes entrance,breakfast,low,4.0,97,-37.8783865,147.9942247
Burger Queen Drive In,lakeview,burger,low,3.5,41,42.1885,-120.3458
Blue Orchid Thai Restaurant,lincoln,thai,medium,4.5,799,40.8143,-96.7072
Stillwater on Belmore,lorn,breakfast,medium,3.5,18,-32.728097,151.558475
Mr.,macedon,cafe,medium,3.5,31,-37.423189,144.564174
Emilio's Cuban Cafe,macon,coffee and tea,medium,4.0,146,32.567741,-83.594494
Ingleside Village Pizza,macon,pizza,low,5.0,478,32.853896,-83.657061
Jim Shaw's Seafood Grill & Bar,macon,seafood,medium,4.5,467,32.8496,-83.6737
Mandarin Chinese Restaurant,macon,chinese,medium,4.5,302,32.8899,-83.6766
Rookery,macon,burger,medium,4.5,289,32.8361,-83.6279
Bonefish Grill,macon,american,high,4.0,293,32.929278,-83.713978
Downtown Grill,macon,steak,high,4.0,195,32.8375,-83.6276
Greek Corner Deli,macon,desserts,low,4.5,244,32.83654,-83.628703
Natalia's,macon,european,high,4.0,379,32.928495,-83.787993
Papouli's Mediterranean Cafe & Market,macon,greek,low,4.0,223,32.901,-83.6873
Benson's Steak and Sushi,macon,american,medium,3.5,243,32.556873,-83.662421
My Fathers Place,macon,italian,medium,3.5,104,32.5786,-83.624
Sushi Thai Restaurant,macon,japanese,low,3.5,153,32.6184,-83.6665
The Mellow Mushroom,macon,pizza,medium,4.0,323,32.552684,-83.691044
El Jalisciense Mexican Restaurant,macon,mexican,low,4.0,181,32.594666,-83.64935
Greek Village,macon,american,medium,4.0,316,32.6176839,-83.636618
Martin's BBQ,macon,bbq,medium,4.0,288,32.619321,-83.600201
Thai Pepper,macon,japanese,low,4.0,232,32.593264,-83.665557
Zen Japanese Steakhouse and Sushi Bar,macon,japanese,high,4.0,314,32.6147,-83.7184
Star Buffet,mayfield,asian,medium,3.0,11,-32.899178,151.7343832
Triangle Restaurant,mc millan,breakfast,low,2.5,17,46.3718,-85.7363
Three Anchors,middleton beach,bar food,high,4.0,176,-35.025861,117.917166
Vince's Restaurant & Pizzeria,monroe,italian,medium,3.5,65,42.606306,-89.653487
Poets Cafe,montville,coffee and tea,high,2.5,193,-26.690462,152.893735
The Artesian Restaurant,ojo caliente,american,high,3.5,30,36.313638,-106.057666
Ceví_che Tapas Bar & Restaurant,orlando,spanish,high,4.5,981,28.540432,-81.381077
'Ohana,orlando,hawaiian,high,4.5,1151,28.405437,-81.585226
Earl of Sandwich,orlando,american,high,4.5,1341,28.372858,-81.514608
Raglan Road Irish Pub and Restaurant,orlando,irish,high,4.5,782,28.371338,-81.517725
Cafí© Tu Tu Tango,orlando,new american,high,4.5,1293,28.440344,-81.469986
Texas de Brazil,orlando,brazilian,high,4.5,2324,28.4676808,-81.4510725
Bahama Breeze Island Grille,orlando,caribbean,high,4.5,910,28.437065,-81.471526
Maggiano's Little Italy,orlando,italian,high,4.5,886,28.433235,-81.471447
Hawkers Asian Street Fare,orlando,asian,high,4.5,1293,28.560505,-81.364347
Tako Cheena by Pom Pom,orlando,asian,low,4.5,570,28.557845,-81.364547
